stage,comparison,metric,estimate,ci95_low,ci95_high,unit
Thought1,Clean,success_rate,0.9725,0.96,0.98375,proportion
Thought1,OOD,success_rate,0.47703441146064096,0.4655146950228917,0.4889971939152267,proportion
Thought2,OOD_minus_Clean,future_latent_cosine_distance,0.031612347361628615,0.025368425052212748,0.03810604864551166,task_equal_difference
Thought2,OOD_minus_Clean,future_latent_l1,0.027710068068460648,0.023830475444164313,0.03167203499874842,task_equal_difference
Thought2,OOD_minus_Clean,motion_direction_cosine,-0.1897549703485386,-0.2133895961889137,-0.1664093211686032,task_equal_difference
Thought3_Phase1,b0_null,action_l2_rms,0.0,,0.0,normalized_action
Thought3_Phase1,correct_null,action_l2_rms,0.01105219020973891,,0.015738203795626758,normalized_action
Thought3_Phase1,correct_shuffle,action_l2_rms,0.012091711862012744,,0.01769042545929551,normalized_action
Thought3_Phase2,A0,development_final_mean_loss,0.004155978542513594,,,action_objective
Thought3_Phase2,A1,development_final_mean_loss,0.00430658254524019,,,action_objective
